id,project_url,Researcher ID,researcher name,project title,Current Affiliation (Institution 1),"Title 1 (assistant professor, phd, postdoc, etc.) ",Misc Defined,Student/Non-Student (0/1),Researcher 2 Affiliation,"Title 2 (assistant professor, phd student, postdoc, etc.)",Researcher 3 Affiliation,"Title 3 (assistant professor, phd student, postdoc, etc.)",Researcher 4 Affiliation,Title 4,US/Non-US (0/1),Institution Classification,Institution Classification Specified,Address 1 (Affliation),zip,Address 2 (Affliation),Latitude 1 (Affliation)  ,Latitude 2 (Affliation),Longitude 1 (Affliation) ,Longitude 2 (Affliation),"City, State 1 (Affliation)","City, State 2 (Affliation)",CBSA1Affliation,CBSA 2 (Affliation),Country (if Non-US),Position 1,Position 2,Position 3,Education 1,Education 2,Education 3,Research University 1,Research University 2,Location of Research 1,Location of Research 2,"Disciplinarity (0 - single, 1 - multi)","Relevance (Theory - 0, Practice - 1, Both - 2)",Relevant Publications (expertise) (0 - dont or 1 - if they did),"Category Relevance (0 - not on list, 1- yes, 2-mixed)",,researcher_title,backers,categories,category1,category2,category3,category4,state,abbreviation,Pasteur's Quadrants (Q1: low/low; Q2: pure basic research; Q3: use-inspired basic research; Q4: applied research),funding_start,funding_end,duration,funding_target,funding_raised,funding_success,funding_percent,name 1,name 2,ID1,ID2,matches 1,matches 2,manual1,manual2,H-Index 1,H-Index 2,Citation-Count 1,Citation-Count 2,budget_overview_granularity,spending_data_granularity,usage_granularity,overall_budget_granularity,video_granularity,description_granularity,credential_granularity,researcher_background_granularity,mugshot_granularity,goal_granularity,importance_granularity,overall_project_detail,video_effort,description_effort,credentials_effort,budget_overview_effort,researcher_bio_effort,mugshot_effort,goals_writeup_effort,importance_writeup_effort,fund_usage_writeup_effort,total_effort
1,https://experiment.com/projects/secrets-of-the-mysterious-vessel,262,Pete Lape,Secrets of the Mysterious Vessel,Brown University,PhD,,0,,,,,,,0,D,D3,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Associate Professor,,,Ph.D Anthropology Brown University, ,,,,,,0,1,0,0,,Ph.D Anthropology Brown University,19,Geology,Paleontology,,,,Washington,WA,Q3,3/22/2012 17:00,6/16/2012 17:00,86.00,2400,281,0,11.70833333,Pete Lape,,,,0,,0,,,,,,0.567,0.667,0.867,0.7,1,0.5,0,0.033,1,0.033,0.333,0.414,1,0.5,0,0.567,0.033,1,0.033,0.333,0.867,0.481
2,https://experiment.com/projects/genetic-circuits-for-interactive-learning,38,Herbert M Sauro,Analog Genetic Circuits for Interactive Learning ,University of Washington,Associate Professor,,1,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,University of Washington, ,,University of Washington,,Washington,,1,1,1,1,,University of Washington,39,Biology,Computer-Science,Education,Engineering,,Washington,WA,Q4,3/19/2012 0:00,5/18/2012 0:00,60.00,1150,1184,1,102.9565217,Herbert M Sauro,,6601968571,,4,,"['6601968571', '56209739600', '56254936100', '56224260300']",,21,,2977,,0.167,0.333,0.3,0.267,1,1,1,0.133,0,0.2,0,0.476,1,1,1,0.167,0.133,0,0.2,0,0.3,0.422
3,https://experiment.com/projects/bring-a-triceratops-to-seattle,6,Christian Sidor,Bring a Triceratops to Seattle,University of Chicago,PhD,,0,,,,,,,0,D,D1,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Professor,,,"Burke Museum of Natural History, Curator  

University of Washington, Professor

University of Chicago, M.S., Ph.D Organismal Biology

Trinity College, B.S. Biology", ,,University of Washington,,Washington,,0,1,1,0,,"Burke Museum of Natural History, Curator <br> University of Washington, Professor<br> University of Chicago, M.S., Ph.D Organismal Biology<br> Trinity College, B.S. Biology",35,Geology,Paleontology,,,,Washington,WA,Q4,3/23/2012 17:00,5/18/2012 17:00,56.00,2300,2395,1,104.1304348,Christian Sidor,,6603946691,,1,,0,,15,,1160,,0.1,0.667,0.4,0.389,1,1,1,0.1,1,0.1,0.1,0.614,1,1,1,0.1,0.1,1,0.1,0.1,0.4,0.533
6,https://experiment.com/projects/crowdsourcing-humor-using-humans-and-computers-together-to-write-jokes,367,Lydia Chilton,Why are jokes funny?,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Doctoral Candidate,,,"PhD in Computer Science at the ""http://www.cs.washington.edu/"" University of Washington

B.S. Economics, Computer Science at ""http://mit.edu"" Massachusetts Institute of Technology", ,,University of Washington,,Washington,,0,0,0,0,,"PhD in Computer Science at the <a href=""http://www.cs.washington.edu/"">University of Washington</a><br> B.S. Economics, Computer Science at <a href=""http://mit.edu"">Massachusetts Institute of Technology</a> ",45,Computer-Science,,,,,Washington,WA,Q1,3/10/2013 17:00,3/17/2013 17:00,7.00,1150,1205,1,104.7826087,Lydia Chilton,,35174165400,,1,,0,,4,,154,,0.067,0.667,0,0.245,1,1,1,0.067,0,0.2,0.267,0.505,1,1,1,0.067,0.067,0,0.2,0.267,0,0.4
9,https://experiment.com/projects/how-do-spammers-harvest-your-e-mail-address,7,Jeff Huang,How do spammers harvest your e-mail address?,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Ph.D. Candidate,,,"Ph.D. candidate, Information School, University of Washington MS, Computer Science, University of Illinois BS, Computer Science, University of Illinois", ,,University of Washington,,Washington,,0,1,1,0,,"Ph.D. candidate, Information School, University of Washington MS, Computer Science, University of Illinois BS, Computer Science, University of Illinois",15,Computer-Science,,,,,Washington,WA,Q3,4/3/2012 17:00,5/31/2012 17:00,58.00,900,5191,1,576.7777778,Jeff Huang,,,,24,,0,,,,,,0.5,0.667,0.833,0.667,1,0,1,0.067,1,0.067,0,0.448,1,0,1,0.5,0.067,1,0.067,0,0.833,0.496
10,https://experiment.com/projects/beekeeping,69,Evan A. Sugden,Training a new generation of scientific beekeepers,"University of Washington, Tacoma",Researcher,,1,,,,,,,0,A,A,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,"Instructor, Biology Department", ,,"M.A. Biology, University of Utah 1976

<br>

PhD Entomology, University of California, Davis 1984 

<br>

Instructor at Biology Dept., University of Washington, Seattle

<br>

Instructor at Interdisciplinary Arts & Sciences, Univ. WA, Tacoma 

<br>

Owner of Entomo-Logic , Monroe, WA ", ,,University of Washington,,Washington,,1,1,0,1,,"M.A. Biology, University of Utah 1976

<br>

PhD Entomology, University of California, Davis 1984 

<br>

Instructor at Biology Dept., University of Washington, Seattle

<br>

Instructor at Interdisciplinary Arts & Sciences, Univ. WA, Tacoma 

<br>

Owner of Entomo-Logic , Monroe, WA ",43,Education,Ecology,,,,Washington,WA,Q4,6/10/2012 17:00,11/2/2012 17:00,145.00,2200,2250,1,102.2727273,Evan A. Sugden,,8733075500,,1,,0,,3,,68,,0,0.333,0.867,0.4,0,1,0.333,1,1,0.5,0.733,0.652,0,1,0.333,0,1,1,0.5,0.733,0.867,0.604
12,https://experiment.com/projects/omnioff,47,Nick Wang,Omnioff: a non-toxic alternative to Teflon non-stick cookware,University of Washington,Undergraduate,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,"University of Washington, B.S. Chemical Engineering", ,,University of Washington,,Washington,,1,1,0,1,,"University of Washington, B.S. Chemical Engineering",32,Engineering,Chemistry,,,,Washington,WA,Q4,6/11/2012 17:00,11/2/2012 17:00,144.00,2500,2526,1,101.04,Nick Wang,,,,10,,0,,,,,,0.3,0.667,0.3,0.422,0,1,0.667,0.2,1,0.3,0.1,0.467,0,1,0.667,0.3,0.2,1,0.3,0.1,0.3,0.43
20,https://experiment.com/projects/guillaume-lajoie,314,Guillaume Lajoie,Exploring Stability of Neural Networks,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Doctoral Candidate,,,Ph.D. Applied Mathematics at University of Washington M.S. Mathematics at University of Ottowa M.S. Applied Mathematics at University of Washington B.S. Mathematics at University of Ottawa, ,,,,,,0,1,0,0,,Ph.D. Applied Mathematics at University of Washington M.S. Mathematics at University of Ottowa M.S. Applied Mathematics at University of Washington B.S. Mathematics at University of Ottawa,12,Engineering,,,,,Washington,WA,Q3,6/10/2012 17:00,7/29/2012 17:00,49.00,2200,197,0,8.954545455,Guillaume Lajoie,,54925531500,,1,,0,,1,,5,,0.067,0.667,0.367,0.367,1,1,0,0.033,1,0.633,0.133,0.543,1,1,0,0.067,0.033,1,0.633,0.133,0.367,0.47
22,https://experiment.com/projects/tracking-magellanic-penguins,72,Dee Boersma,Tracking Magellanic Penguins,University of Washington,Full Professor,,1,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Wadsworth Endowed Chair, ,,"Wadsworth Endowed Chair, University of Washington", ,,University of Washington,,Washington,,0,2,1,1,,"Wadsworth Endowed Chair, University of Washington",19,Ecology,,,,,Washington,WA,Q3,6/27/2012 17:00,12/24/2012 16:00,179.96,5500,5520,1,100.3636364,Dee Boersma,,7004006125,,2,,"['7004006125', '56229360300']",,22,,1499,,0.333,1,0.1,0.478,1,1,1,1,1,0,0.033,0.719,1,1,1,0.333,1,1,0,0.033,0.1,0.607
33,https://experiment.com/projects/formula-sae-student-designed-and-built-electric-racecar,142,Alan Luan,Formula SAE: Student designed and built electric racecar,Western Washington University,Undergraduate,,0,,,,,,,0,A,A,"516 High Street, Bellingham, Washington 98225-9008",98225,,48.737432,,-122.48741,,"Bellingham, WA",,13380,,,,,,Western Washington University, ,,Western Washington University,,Washington,,0,1,0,0,,Western Washington University,44,Engineering,,,,,Washington,WA,Q4,10/2/2012 17:00,12/20/2012 16:00,78.96,8000,8635,1,107.9375,Alan Luan,,,,0,,0,,,,,,0.433,0,0.2,0.211,0,1,0.667,0.067,1,0.133,0.233,0.443,0,1,0.667,0.433,0.067,1,0.133,0.233,0.2,0.415
34,https://experiment.com/projects/earthworms-and-symbionts,70,Seana Davidson,Searching for Antifungal Agents in Earthworms,UCSD,PhD,,0,,,,,,,0,D,D3,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Research Assistant Professor, ,,"Ph.D. Marine Biology UCSD, Scripps Institution of Oceanography  

B.A. Biology University of Oregon, R. D. Clark Honors College", ,,,,,,0,1,0,0,,"Ph.D. Marine Biology UCSD, Scripps Institution of Oceanography  <br> <br>  B.A. Biology University of Oregon, R. D. Clark Honors College",4,Biology,,,,,Washington,WA,Q3,10/6/2012 17:00,12/24/2012 16:00,78.96,5000,90,0,1.8,Seana Davidson,,7202859656,,1,,0,,11,,672,,0,0,0.467,0.156,1,1,0,0.567,1,0.267,0.567,0.629,1,1,0,0,0.567,1,0.267,0.567,0.467,0.541
35,https://experiment.com/projects/wormfree-world-finding-new-cures,252,Raffi V. Aroian,Wormfree World - Finding New Cures,California Institute of Technology,PhD,,0,,,,,,,0,D,D1,,.,,,,,,CA,,,,,,,,"B.S, Massachusetts Institute of Technology Ph.D, California Institute of Technology", ,,Wormfree World Institute,,California,,1,1,0,1,,"B.S, Massachusetts Institute of Technology Ph.D, California Institute of Technology",65,Biology,Medicine,,,,California,CA,Q3,9/10/2012 17:00,1/21/2013 16:00,132.96,15000,18726,1,124.84,Raffi V. Aroian,,6603936609,,1,,0,,22,,1403,,0.033,0.667,0.467,0.389,1,1,0,0.4,1,0.167,0.133,0.529,1,1,0,0.033,0.4,1,0.167,0.133,0.467,0.467
38,https://experiment.com/projects/urban-pollination-sustain-native-bees-urban-crops,40,Susan Waters,Urban Pollination: sustain native bees &  urban crops,University of Washington,Masters,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,University of Washington,,,University of Washington,,Washington,,1,0,0,0,,University of Washington,44,Biology,Ecology,,,,Washington,WA,Q3,11/11/2012 16:00,1/11/2013 16:00,61.00,3500,3540,1,101.1428571,Susan Waters,,,,9,,0,,,,,,0.067,0.333,0.133,0.178,0,1,0.667,0.6,1,0.3,0.067,0.519,0,1,0.667,0.067,0.6,1,0.3,0.067,0.133,0.426
48,https://experiment.com/projects/uwashington-formula-motorsports-electric-racecar-development,338,Daniel Wageman,UWashington Formula Motorsports: Electric Racecar Development,University of Washington,Masters,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Master's Degree,,,University of Washington,University of Washington,,University of Washington,,Washington,,0,1,0,0,,University of Washington,84,Engineering,,,,,Washington,WA,Q4,12/29/2012 16:00,2/19/2013 16:00,52.00,7000,7335,1,104.7857143,Daniel Wageman,,,,0,,0,,,,,,0.167,0.333,0.567,0.356,0,1,0.333,0.2,1,0.033,0.167,0.39,0,1,0.333,0.167,0.2,1,0.033,0.167,0.567,0.385
50,https://experiment.com/projects/parabolic-solar-trough,369,Anthony Messina,The Parabolic Solar Trough,Milwaukee School of Engineering,Undergraduate,,0,,,,,,,0,A,A,"1025 N Broadway, Milwaukee, Wisconsin 53202-3109",53202,,43.043935,,-87.908389,,"Milwaukee, WI",,33340,,,Undergraduate Team,,,"Anthony Messina, John Goljenboom Jr., Ben Peterson, John LaFavor, and Rebecca Gardner are a team of senior mechanical engineering students at the Milwaukee School of Engineering. ", ,,Milwaukee School of Engineering,,Wisconson,,0,1,0,0,,"Anthony Messina, John Goljenboom Jr., Ben Peterson, John LaFavor, and Rebecca Gardner are a team of senior mechanical engineering students at the Milwaukee School of Engineering. ",18,Engineering,,,,,Wisconsin,WI,Q4,12/18/2012 16:00,3/23/2013 0:00,94.33,2500,2500,0,100,Anthony Messina,,55845704500,,4,,"['7103240989', '7103241037', '37019437400', '55845704500']",,0,,0,,0.167,0,0.5,0.222,1,1,0,0.333,0,0.033,0,0.338,1,1,0,0.167,0.333,0,0.033,0,0.5,0.337
57,https://experiment.com/projects/auditory-orientation-aid-for-astronauts,287,Mikaâl Capelle,Auditory orientation aid for astronauts,INSA of Toulouse,Masters,,0,,,,,,,1,D,D4,,.,,,,,,Montreal,,,,Canada,,,,Engineering student in computer science at INSA of Toulouse since 2009., ,,Polytechnique Montreal,,"Montreal, Canada",,0,1,0,0,,Engineering student in computer science at INSA of Toulouse since 2009.,1,Engineering,,,,,,,Q4,7/20/2013 0:00,10/21/2013 17:00,93.71,10000,25,0,0.25,Mikaâl Capelle,,,,0,,0,,,,,,0.767,0.667,0.533,0.656,1,1,0,0,1,0.033,0.1,0.448,1,1,0,0.767,0,1,0.033,0.1,0.533,0.493
58,https://experiment.com/projects/nyu-research-labs-need-your-help,151,Bunsen Honeydew,NYU Research Labs Need Your Help,"University of Maryland, College Park",PhD,,0,,,,,,,0,D,D4,"70 Washington Sq South, New York, New York 10012-1091",10012,,40.729844,,-73.997189,,,,35620,,,,,,, ,,,,,,0,1,0,0,,,22,Education,,,,,,,Q4,10/30/2012 17:00,12/31/2012 16:00,61.96,1000,1170,1,117,Bunsen Honeydew,,,,0,,0,,,,,,0,0.333,0,0.111,0,0,0,0.033,1,0.067,0,0.157,0,0,0,0,0.033,1,0.067,0,0,0.122
65,https://experiment.com/projects/viral-causes-of-lung-cancer,225,Danny Colombara,Viral Causes of Lung Cancer,University of Washington,PhD,,0,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,Danny is a Cancer Prevention Trainee at the Fred Hutchinson Cancer Research Center and a PhD candidate in Epidemiology at the University of Washington School of Public Health., ,,University of Washington,,Washington,,1,1,0,1,,Danny is a Cancer Prevention Trainee at the Fred Hutchinson Cancer Research Center and a PhD candidate in Epidemiology at the University of Washington School of Public Health.,34,Medicine,Biology,,,,Washington,WA,Q3,1/12/2012 16:00,3/25/2013 17:00,438.04,5500,5622,1,102.2181818,Danny Colombara,,37025591000,,1,,0,,2,,37,,0.1,0.333,0.267,0.233,1,1,0,0.7,0,0.267,0.367,0.476,1,1,0,0.1,0.7,0,0.267,0.367,0.267,0.411
70,https://experiment.com/projects/new-rear-air-diffuser-improving-race-car-aerodynamics,216,N/A,New Rear Air Diffuser--Improving Race Car Aerodynamics,Iowa State University,Misc,N/A,1,,,,,,,0,D,D4,,.,,,,,,WA,,,,,,,,Iowa State University, ,,Microryza,,Washington,,0,1,0,0,,Iowa State University,5,Engineering,,,,,Washington,WA,Q4,3/8/2013 16:00,3/30/2013 17:00,22.04,2500,115,0,4.6,,,,,,,0,,,,,,0.033,0,0.067,0.033,1,1,0,0,1,0.1,0.067,0.452,1,1,0,0.033,0,1,0.1,0.067,0.067,0.363
73,https://experiment.com/projects/cannibalism-in-giant-tyrannosaurs,42,David Hone,Cannibalism in Giant Tyrannosaurs,University of Bristol,Researcher,,1,,,,,,,1,D,D3,,.,,,,,,Bristol,,,,United Kingdom,Researcher,,,"Degree in zoology

Masters in taxonomy

PhD in palaeontology", , ,,,,,1,2,0,0,,"Dr. David Hone is a researcher and British paleontologist at the University of Bristol specializing in dinosaurs and pterosaurs. He has a degree in zoology, a masters in taxonomy, and a PhD in palaeontology. Over the past few years, Dr. Hone has spent time working in Germany, Mexico, China, and Ireland. ",58,Biology,Paleontology,,,,,,Q2,1/8/2013 0:00,3/25/2013 0:00,76.00,3000,3029,1,100.9666667,David Hone,,16241713000,,1,,0,,11,,522,,0.533,1,0.1,0.544,1,1,0,0.967,0,0.167,0.167,0.472,1,1,0,0.533,0.967,0,0.167,0.167,0.1,0.437
82,https://experiment.com/projects/gun-control-research-project,270,Bisakha Sen,"Gun Policy, Gun Culture & Guns across the U.S.: What Makes Us Safer?",University of Alabama at Birmingham,Full Professor,,1,,,,,,,0,D,D4,,.,,,,,,AL,,,,,,,,"Dr. Sen has a PhD in economics from The Ohio State University (1998), and specializes in health economics and health policy research. She is tenured associate professor in the School of Public Health, UAB.", ,,UAB, ,Alabama,,0,0,1,1,,"Dr. Sen has a PhD in economics from The Ohio State University (1998), and specializes in health economics and health policy research. She is tenured associate professor in the School of Public Health, UAB.",273,Medicine,,,,,Alabama,AL,Q2,3/8/2013 16:00,6/15/2013 17:00,99.04,22000,22305,1,101.3863636,Bisakha Sen,,7103253023,,2,,"['7103253023', '56271859600']",,8,,351,,1,1,0.933,0.978,1,1,1,0.1,0,0.767,0.767,0.662,1,1,1,1,0.1,0,0.767,0.767,0.933,0.73
85,https://experiment.com/projects/why-is-breast-cancer-detection-important,150,Melvin Baron,Why is breast cancer detection important?,USC School of Pharmacy,Associate Professor,,1,,,,,,,0,D,D3,"University Park, Los Angeles, California 90089",90089,,34.021854,,-118.28583,,"Los Angeles, CA",,31100,,,Associate Professor,,,USC School of Pharmacy, ,,USC School of Pharmacy,,California,,1,1,1,1,,USC School of Pharmacy,56,Education,Medicine,,,,California,CA,Q4,6/27/2013 0:00,8/24/2013 17:00,58.71,5000,6109,1,122.18,Melvin Baron,,8387044200,,2,,"['7202116449', '8387044200']",,3,,26,,0.2,0.333,0.367,0.3,1,1,0.667,1,1,0.6,0.333,0.8,1,1,0.667,0.2,1,1,0.6,0.333,0.367,0.685
88,https://experiment.com/projects/why-can-t-we-cure-alcoholism,350,Daryl Davies,Using Ivermectin for the Treatment of Alcohol Use Disorders,University of Southern California,PhD,,0,,,,,,,0,D,D3,"University Park, Los Angeles, California 90089",90089,,34.021854,,-118.28583,,"Los Angeles, CA",,31100,,,Associate Professor of Clinical Pharmacy, ,,"1992-1996 University of Southern California, Ph.D.É??Molecular Pharmacology and Toxicology

1990-1992 California State University, MAÉ??Biology (Emphasis in Molecular Biology) 

1987-1990 California State University, BA with HonorsÉ??Biology", ,,"University of Southern California, School of Pharmacy", ,California,,1,2,1,1,,"1992-1996 University of Southern California, Ph.D.É??Molecular Pharmacology and Toxicology<br>   1990-1992 California State University, MAÉ??Biology (Emphasis in Molecular Biology) <br>   1987-1990 California State University, BA with HonorsÉ??Biology",5,Medicine,Biology,Chemistry,,,California,CA,Q3,4/8/2013 17:00,6/20/2013 17:00,73.00,20000,306,0,1.53,Daryl Davies,,7403920038,,1,,0,,12,,324,,1,0.667,0.6,0.756,1,1,0.667,0.467,1,0.733,0.633,0.786,1,1,0.667,1,0.467,1,0.733,0.633,0.6,0.789
90,https://experiment.com/projects/can-we-prevent-the-transmission-of-brca-mutations,153,Elizabeth Iorns,Can we prevent the transmission of BRCA mutations?,University of Miami,Postdoc,,0,,,,,,,0,D,D4,,.,,,,,,CA,,,,,,,,"Postdoctoral Associate, Cancer Biology; University of Miami 

Ph.D., Cancer Biology; The Institute of Cancer Research, University of London 

B.Sc (Hons), Biomedical Science; University of Auckland", ,,Science Exchange,,California,,1,1,1,1,,"Education:<br> Postdoctoral Associate, Cancer Biology; University of Miami <br> Ph.D., Cancer Biology; The Institute of Cancer Research, University of London <br> B.Sc (Hons), Biomedical Science; University of Auckland <br>",46,Medicine,Biology,,,,California,CA,Q2,3/12/2013 0:00,5/17/2013 0:00,66.00,10000,10077,1,100.77,Elizabeth Iorns,,16744246900,,1,,0,,8,,643,,0.333,1,0.467,0.6,1,1,1,0.233,0,0.533,0.7,0.638,1,1,1,0.333,0.233,0,0.533,0.7,0.467,0.585
94,https://experiment.com/projects/uw-igem,281,UW iGEM 2013 Team,Using Bacteria to Design Genetic Light Switches,University of Washington,Misc,N/A,1,,,,,,,0,D,D2,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,,,,"Bioengineering Department, UW

Biochemistry Department, UW

Microbiology Department, UW

 Electrical Engineering Department, UW", ,,University of Washington,,Washington,,1,1,0,1,,"Bioengineering Department, UW<br><br> Biochemistry Department, UW<br><br> Microbiology Department, UW<br><br> Electrical Engineering Department, UW<br><br>",1,Biology,Engineering,Medicine,,,Washington,WA,Q3,3/16/2013 17:00,4/29/2013 17:00,44.00,2000,5,0,0.25,,,,,,,0,,,,,,0.2,0.333,0.4,0.311,0,0,1,0.033,1,0.4,0.633,0.438,0,0,1,0.2,0.033,1,0.4,0.633,0.4,0.407
96,https://experiment.com/projects/seattle-biohacker-space,346,Katriona Guthrie-Honea,Seattle HiveBio Community Lab,Singularity University,Masters,,0,,,,,,,0,A,A,,.,,,,,,"Seattle, WA",,,,,,,,, ,,Hive Bio Community Lab,,Washington,,1,1,0,0,,,105,Biology,Education,,,,Washington,WA,Q4,3/8/2013 16:00,5/2/2013 17:00,55.04,5100,6420,1,125.8823529,Katriona Guthrie-Honea,,,,0,,0,,,,,,1,1,0.4,0.8,1,1,0.667,0.167,1,0,0.1,0.562,1,1,0.667,1,0.167,1,0,0.1,0.4,0.593
98,https://experiment.com/projects/the-experiences-of-cross-content-matched-mentors-and-mentees,317,Michael T. Neall,The Experiences of Cross-Content Matched Mentors and Mentees,Walden U,PhD,,0,,,,,,,0,B,B,,.,,,,,,"Woodbridge, VA",,,,,,,,, ,,Microryza,,Washington,,0,0,1,0,,,5,Education,,,,,Washington,WA,Q2,3/6/2013 0:00,4/2/2013 0:00,27.00,1250,145,0,11.6,Michael T. Neall,,,,0,,0,,,,,,0.833,0.333,0.333,0.5,0,1,1,0.533,1,0.2,0.233,0.567,0,1,1,0.833,0.533,1,0.2,0.233,0.333,0.57
102,https://experiment.com/projects/nanotechnology-to-treat-inflammatory-brain-damage-during-viral-infection,295,Nicholas King & Daniel Getts,Nanotechnology to treat inflammatory brain damage during viral infection,University of Sydney,Full Professor,,1,Northwestern University,PhD,,,,,1,D,D3,,.,,,,,,Sydney,,,,Australia,Professor of Pathology,,,"We are affiliated with  University of Sydney, Northwestern University, Tolera & the Lieber Institute.", ,,,,,,0,1,0,1,,"We are affiliated with  University of Sydney, Northwestern University, Tolera & the Lieber Institute.",4,Medicine,,,,,,,Q3,3/16/2013 17:00,4/29/2013 17:00,44.00,7000,550,0,7.857142857,Nicholas King,Daniel Getts,7201762862,15759612300,1,1,0,,28,12,1964,544,0.567,1,0.067,0.545,0,0,0.333,0.467,1,0.2,0.333,0.333,0,0,0.333,0.567,0.467,1,0.2,0.333,0.067,0.33
104,https://experiment.com/projects/nyaya-health,15,Duncan Maru,Real-time Data Mapping to Reduce Child Mortality,Yale University,PhD,,0,,,,,,,0,D,D1,,.,,,,,,"New York, NY",,,,,Chief Programs Officer at Possible and Physician at Boston Children's Hospital, ,,"BA, Harvard University 

MD, PhD, Yale University School of Medicine", ,,Nyaya Health,,New York,,1,2,0,1,,"BA, Harvard University <br>      MD, PhD, Yale University School of Medicine",30,Biology,Medicine,,,,New York,NY,Q3,3/8/2013 0:00,8/30/2013 17:00,175.71,10000,5360,0,53.6,Duncan Maru,,16242110500,,2,,"['16242110500', '56013038400']",,9,,236,,1,1,0.3,0.767,1,1,0,0.3,0,0.433,0.533,0.467,1,1,0,1,0.3,0,0.433,0.533,0.3,0.507
107,https://experiment.com/projects/in-what-ways-does-a-human-cell-develop-brain-cancer,73,N/A,How does brain cancer develop on the cellular level?,UC Santa Cruz,Researcher,,1,,,,,,,0,D,D4,"1156 High St, Santa Cruz, California 95064-1011",95064,,36.977109,,-122.05228,,,,42100,,,,,,Biomolecular Engineering Department at UC Santa Cruz Jack Baskin School of Engineering, ,,,,,,1,1,0,1,,Biomolecular Engineering Department at UC Santa Cruz Jack Baskin School of Engineering,2,Biology,Medicine,,,,,,Q2,9/11/2013 0:00,10/11/2013 0:00,30.00,5000,21,0,0.42,,,,,,,0,,,,,,0.3,0.333,0.2,0.278,0,0,0,0.433,1,1,0.533,0.424,0,0,0,0.3,0.433,1,1,0.533,0.2,0.385
110,https://experiment.com/projects/how-can-ngos-guide-fisheries-to-ecological-sustainability,123,Laura Deighan,How can NGOs guide fisheries to ecological sustainability?,University of Washington,Masters,,0,,,,,,,0,D,D2,,.,,,,,,CA,,,,,,,,"BS in marine biology from Florida Institute of Technology, MMA from University of Washington (in progress)", ,,The SciFund Challenge,,California,,1,0,1,1,,"BS in marine biology from Florida Institute of Technology, MMA from University of Washington (in progress)",18,Ecology,Biology,,,,California,CA,Q2,2/5/2014 0:03,2/11/2014 23:59,7.00,700,740,1,105.7142857,Laura Deighan,,,,0,,0,,,,,,0.633,0.667,0.433,0.578,1,1,0.667,0.2,1,0.833,0.833,0.79,1,1,0.667,0.633,0.2,1,0.833,0.833,0.433,0.733
